contig	feature_type	lend	rend
EML4--ALK	GeneA	1001	1287
EML4--ALK	GeneA	1004	1287
EML4--ALK	GeneA	1032	1287
EML4--ALK	GeneA	1042	1287
EML4--ALK	GeneA	1112	1287
EML4--ALK	GeneA	2288	2441
EML4--ALK	GeneA	3442	3624
EML4--ALK	GeneA	3442	3625
EML4--ALK	GeneA	4626	4755
EML4--ALK	GeneA	5756	5929
EML4--ALK	GeneA	5756	6148
EML4--ALK	GeneA	7149	7277
EML4--ALK	GeneA	8278	8303
EML4--ALK	GeneA	8491	8523
EML4--ALK	GeneA	9524	9647
EML4--ALK	GeneA	10648	10797
EML4--ALK	GeneA	10734	10797
EML4--ALK	GeneA	11798	11867
EML4--ALK	GeneA	12868	13324
EML4--ALK	GeneA	13214	13324
EML4--ALK	GeneA	14325	14420
EML4--ALK	GeneA	14325	16011
EML4--ALK	GeneA	17012	17146
EML4--ALK	GeneA	17268	17403
EML4--ALK	GeneA	18404	18555
EML4--ALK	GeneA	19556	19681
EML4--ALK	GeneA	19767	19898
EML4--ALK	GeneA	20899	20966
EML4--ALK	GeneA	21967	22055
EML4--ALK	GeneA	23056	23153
EML4--ALK	GeneA	23103	23153
EML4--ALK	GeneA	24154	24617
EML4--ALK	GeneA	25618	25705
EML4--ALK	GeneA	26305	26403
EML4--ALK	GeneA	27404	27534
EML4--ALK	GeneA	28252	31066
EML4--ALK	GeneA	28252	29262
EML4--ALK	GeneA	28252	29392
EML4--ALK	GeneB	34067	35640
EML4--ALK	GeneB	36641	36763
EML4--ALK	GeneB	36644	36763
EML4--ALK	GeneB	37764	37928
EML4--ALK	GeneB	38929	39130
EML4--ALK	GeneB	40131	40258
EML4--ALK	GeneB	41259	41390
EML4--ALK	GeneB	42391	42522
EML4--ALK	GeneB	43523	43623
EML4--ALK	GeneB	44330	44430
EML4--ALK	GeneB	45431	45600
EML4--ALK	GeneB	46601	46681
EML4--ALK	GeneB	46919	47025
EML4--ALK	GeneB	48026	48120
EML4--ALK	GeneB	48295	48423
EML4--ALK	GeneB	49424	49586
EML4--ALK	GeneB	50587	50737
EML4--ALK	GeneB	51738	51869
EML4--ALK	GeneB	52870	53014
EML4--ALK	GeneB	54015	54197
EML4--ALK	GeneB	55198	55296
EML4--ALK	GeneB	55796	55948
EML4--ALK	GeneB	56949	57053
EML4--ALK	GeneB	57784	57835
EML4--ALK	GeneB	58836	59022
EML4--ALK	GeneB	58970	59022
EML4--ALK	GeneB	59757	59847
EML4--ALK	GeneB	59956	60020
EML4--ALK	GeneB	61021	61388
EML4--ALK	GeneB	61423	61552
EML4--ALK	GeneB	62553	62650
EML4--ALK	GeneB	63651	63743
EML4--ALK	GeneB	64744	64845
EML4--ALK	GeneB	65846	65980
EML4--ALK	GeneB	66662	66752
EML4--ALK	GeneB	67753	68901
EML4--ALK	GeneB	67753	68898
EML4--ALK	MicroH	26319	34310
EML4--ALK	MicroH	28612	34385
EML4--ALK	MicroH	5900	34818
EML4--ALK	MicroH	11862	34922
EML4--ALK	MicroH	17108	35588
EML4--ALK	MicroH	14853	36690
EML4--ALK	MicroH	30998	36738
EML4--ALK	MicroH	30999	36739
EML4--ALK	MicroH	31000	36740
EML4--ALK	MicroH	18551	37924
EML4--ALK	MicroH	28480	38936
EML4--ALK	MicroH	28359	40199
EML4--ALK	MicroH	2282	40248
EML4--ALK	MicroH	20914	43584
EML4--ALK	MicroH	28643	43597
EML4--ALK	MicroH	23123	43609
EML4--ALK	MicroH	2356	44366
EML4--ALK	MicroH	29261	45568
EML4--ALK	MicroH	29262	45569
EML4--ALK	MicroH	29263	45570
EML4--ALK	MicroH	15552	46921
EML4--ALK	MicroH	7189	48381
EML4--ALK	MicroH	7190	48382
EML4--ALK	MicroH	19676	48418
EML4--ALK	MicroH	13287	49510
EML4--ALK	MicroH	13288	49511
EML4--ALK	MicroH	23140	49557
EML4--ALK	MicroH	30713	50710
EML4--ALK	MicroH	5886	51733
EML4--ALK	MicroH	19872	54025
EML4--ALK	MicroH	17335	54168
EML4--ALK	MicroH	17336	54169
EML4--ALK	MicroH	24367	54197
EML4--ALK	MicroH	1071	55807
EML4--ALK	MicroH	1072	55808
EML4--ALK	MicroH	13216	58935
EML4--ALK	MicroH	13217	58936
EML4--ALK	MicroH	8520	59844
EML4--ALK	MicroH	17022	61034
EML4--ALK	MicroH	28567	61214
EML4--ALK	MicroH	28696	61248
EML4--ALK	MicroH	15677	61428
EML4--ALK	MicroH	2319	62618
EML4--ALK	MicroH	2320	62619
EML4--ALK	MicroH	29547	62628
EML4--ALK	MicroH	29548	62629
EML4--ALK	MicroH	13176	63678
EML4--ALK	MicroH	29542	64810
EML4--ALK	MicroH	15791	65912
EML4--ALK	MicroH	15792	65913
EML4--ALK	MicroH	30846	66680
EML4--ALK	MicroH	28367	67796
EML4--ALK	MicroH	24235	67871
EML4--ALK	MicroH	24236	67872
EML4--ALK	MicroH	5918	68130
EML4--ALK	MicroH	11826	68221
EML4--ALK	MicroH	5859	68260
EML4--ALK	MicroH	5901	68416
EML4--ALK	MicroH	5902	68417
EML4--ALK	MicroH	15768	68464
EML4--ALK	MicroH	21986	68526
EML4--ALK	MicroH	15128	68547
EML4--ALK	MicroH	15129	68548
EML4--ALK	MicroH	30039	68548
EML4--ALK	MicroH	29035	68594
EML4--ALK	MicroH	14760	68605
EML4--ALK	MicroH	23121	68650
EML4--ALK	MicroH	23122	68651
EML4--ALK	MicroH	14411	68872
