contig	feature_type	lend	rend
FSIP1--RP11-624L4.1	GeneA	1001	1203
FSIP1--RP11-624L4.1	GeneA	2204	2336
FSIP1--RP11-624L4.1	GeneA	3337	3520
FSIP1--RP11-624L4.1	GeneA	4521	4675
FSIP1--RP11-624L4.1	GeneA	5676	5769
FSIP1--RP11-624L4.1	GeneA	6770	6915
FSIP1--RP11-624L4.1	GeneA	7916	8011
FSIP1--RP11-624L4.1	GeneA	9012	9136
FSIP1--RP11-624L4.1	GeneA	10137	10247
FSIP1--RP11-624L4.1	GeneA	11248	11406
FSIP1--RP11-624L4.1	GeneA	12407	12544
FSIP1--RP11-624L4.1	GeneA	13545	14055
FSIP1--RP11-624L4.1	GeneA	15056	15951
FSIP1--RP11-624L4.1	GeneA	15056	15137
FSIP1--RP11-624L4.1	GeneA	15713	15733
FSIP1--RP11-624L4.1	GeneB	18952	19049
FSIP1--RP11-624L4.1	GeneB	20050	20116
FSIP1--RP11-624L4.1	GeneB	20074	20481
FSIP1--RP11-624L4.1	GeneB	20316	20481
FSIP1--RP11-624L4.1	GeneB	21373	21995
FSIP1--RP11-624L4.1	GeneB	22996	23348
FSIP1--RP11-624L4.1	GeneB	24349	24492
FSIP1--RP11-624L4.1	GeneB	25493	25536
FSIP1--RP11-624L4.1	GeneB	26537	26600
FSIP1--RP11-624L4.1	GeneB	27601	27706
FSIP1--RP11-624L4.1	GeneB	27601	27638
FSIP1--RP11-624L4.1	GeneB	28707	28786
FSIP1--RP11-624L4.1	GeneB	29787	29867
FSIP1--RP11-624L4.1	GeneB	30868	31100
FSIP1--RP11-624L4.1	GeneB	30868	30967
FSIP1--RP11-624L4.1	GeneB	30868	31163
FSIP1--RP11-624L4.1	GeneB	32164	32295
FSIP1--RP11-624L4.1	GeneB	32164	32322
FSIP1--RP11-624L4.1	GeneB	33323	33468
FSIP1--RP11-624L4.1	GeneB	33596	33810
FSIP1--RP11-624L4.1	GeneB	34811	35211
FSIP1--RP11-624L4.1	MicroH	14052	20261
FSIP1--RP11-624L4.1	MicroH	4518	20348
FSIP1--RP11-624L4.1	MicroH	7983	20371
FSIP1--RP11-624L4.1	MicroH	11381	21408
FSIP1--RP11-624L4.1	MicroH	11382	21409
FSIP1--RP11-624L4.1	MicroH	6834	21430
FSIP1--RP11-624L4.1	MicroH	6835	21431
FSIP1--RP11-624L4.1	MicroH	6897	21604
FSIP1--RP11-624L4.1	MicroH	6898	21605
FSIP1--RP11-624L4.1	MicroH	6899	21606
FSIP1--RP11-624L4.1	MicroH	15890	21848
FSIP1--RP11-624L4.1	MicroH	15891	21849
FSIP1--RP11-624L4.1	MicroH	4573	23067
FSIP1--RP11-624L4.1	MicroH	4574	23068
FSIP1--RP11-624L4.1	MicroH	10175	23122
FSIP1--RP11-624L4.1	MicroH	1059	23254
FSIP1--RP11-624L4.1	MicroH	4599	23312
FSIP1--RP11-624L4.1	MicroH	4615	25516
FSIP1--RP11-624L4.1	MicroH	4614	25521
FSIP1--RP11-624L4.1	MicroH	4615	25522
FSIP1--RP11-624L4.1	MicroH	12542	25534
FSIP1--RP11-624L4.1	MicroH	12543	25535
FSIP1--RP11-624L4.1	MicroH	12544	25536
FSIP1--RP11-624L4.1	MicroH	15716	26587
FSIP1--RP11-624L4.1	MicroH	15717	26588
FSIP1--RP11-624L4.1	MicroH	11333	27621
FSIP1--RP11-624L4.1	MicroH	11334	27622
FSIP1--RP11-624L4.1	MicroH	2299	29815
FSIP1--RP11-624L4.1	MicroH	7917	31127
FSIP1--RP11-624L4.1	MicroH	12502	32312
FSIP1--RP11-624L4.1	MicroH	3393	33402
FSIP1--RP11-624L4.1	MicroH	3394	33403
FSIP1--RP11-624L4.1	MicroH	6875	34886
FSIP1--RP11-624L4.1	MicroH	1157	34990
FSIP1--RP11-624L4.1	MicroH	11265	35093
FSIP1--RP11-624L4.1	MicroH	11266	35094
