contig	feature_type	lend	rend
COL1A1--FN1	GeneA	1001	1222
COL1A1--FN1	GeneA	2223	2661
COL1A1--FN1	GeneA	2467	2661
COL1A1--FN1	GeneA	2824	2858
COL1A1--FN1	GeneA	2824	2996
COL1A1--FN1	GeneA	2961	2996
COL1A1--FN1	GeneA	3087	3188
COL1A1--FN1	GeneA	3087	3136
COL1A1--FN1	GeneA	3087	3125
COL1A1--FN1	GeneA	3712	3981
COL1A1--FN1	GeneA	3910	3981
COL1A1--FN1	GeneA	4209	4253
COL1A1--FN1	GeneA	4412	4465
COL1A1--FN1	GeneA	4629	4682
COL1A1--FN1	GeneA	5181	5234
COL1A1--FN1	GeneA	5351	5404
COL1A1--FN1	GeneA	5744	5797
COL1A1--FN1	GeneA	5819	6100
COL1A1--FN1	GeneA	5886	5930
COL1A1--FN1	GeneA	5886	5894
COL1A1--FN1	GeneA	6047	6100
COL1A1--FN1	GeneA	6215	6259
COL1A1--FN1	GeneA	6215	6335
COL1A1--FN1	GeneA	6438	6491
COL1A1--FN1	GeneA	6749	6847
COL1A1--FN1	GeneA	6936	6980
COL1A1--FN1	GeneA	7084	7182
COL1A1--FN1	GeneA	7314	7367
COL1A1--FN1	GeneA	7586	7693
COL1A1--FN1	GeneA	7788	7841
COL1A1--FN1	GeneA	7967	8065
COL1A1--FN1	GeneA	8062	8065
COL1A1--FN1	GeneA	8231	8284
COL1A1--FN1	GeneA	8231	8864
COL1A1--FN1	GeneA	8356	8471
COL1A1--FN1	GeneA	8373	8471
COL1A1--FN1	GeneA	8373	8928
COL1A1--FN1	GeneA	9367	9420
COL1A1--FN1	GeneA	9564	9617
COL1A1--FN1	GeneA	9721	9774
COL1A1--FN1	GeneA	9886	9939
COL1A1--FN1	GeneA	9975	10434
COL1A1--FN1	GeneA	10390	10434
COL1A1--FN1	GeneA	10528	10626
COL1A1--FN1	GeneA	10528	10548
COL1A1--FN1	GeneA	10924	11031
COL1A1--FN1	GeneA	11490	11597
COL1A1--FN1	GeneA	11490	11505
COL1A1--FN1	GeneA	11818	11871
COL1A1--FN1	GeneA	11818	12105
COL1A1--FN1	GeneA	12034	12087
COL1A1--FN1	GeneA	12306	12413
COL1A1--FN1	GeneA	12502	12555
COL1A1--FN1	GeneA	12682	12735
COL1A1--FN1	GeneA	12876	13037
COL1A1--FN1	GeneA	13139	13246
COL1A1--FN1	GeneA	13404	13511
COL1A1--FN1	GeneA	13619	13672
COL1A1--FN1	GeneA	13630	13672
COL1A1--FN1	GeneA	13777	13884
COL1A1--FN1	GeneA	13777	14522
COL1A1--FN1	GeneA	13860	14318
COL1A1--FN1	GeneA	14265	14318
