contig	feature_type	lend	rend
KRT13--KRT4	GeneA	1001	1071
KRT13--KRT4	GeneA	1093	1650
KRT13--KRT4	GeneA	1093	1554
KRT13--KRT4	GeneA	1094	1259
KRT13--KRT4	GeneA	1109	1650
KRT13--KRT4	GeneA	1109	1259
KRT13--KRT4	GeneA	1471	1650
KRT13--KRT4	GeneA	2130	2641
KRT13--KRT4	GeneA	2981	3063
KRT13--KRT4	GeneA	2981	3047
KRT13--KRT4	GeneA	3263	3419
KRT13--KRT4	GeneA	3363	3419
KRT13--KRT4	GeneA	3608	3769
KRT13--KRT4	GeneA	3608	3688
KRT13--KRT4	GeneA	3608	3637
KRT13--KRT4	GeneA	3894	4019
KRT13--KRT4	GeneA	4112	4332
KRT13--KRT4	GeneA	4112	4481
KRT13--KRT4	GeneA	4112	4456
KRT13--KRT4	GeneA	4795	4904
KRT13--KRT4	GeneA	4962	4987
KRT13--KRT4	GeneA	4962	5716
KRT13--KRT4	GeneA	5344	5725
KRT13--KRT4	GeneA	5344	5724
KRT13--KRT4	GeneB	8726	9680
KRT13--KRT4	GeneB	9161	9429
KRT13--KRT4	GeneB	9219	9366
KRT13--KRT4	GeneB	9427	9680
KRT13--KRT4	GeneB	9549	9680
KRT13--KRT4	GeneB	9661	9680
KRT13--KRT4	GeneB	10681	10895
KRT13--KRT4	GeneB	10681	11212
KRT13--KRT4	GeneB	11731	11902
KRT13--KRT4	GeneB	11842	11902
KRT13--KRT4	GeneB	12903	12998
KRT13--KRT4	GeneB	12903	13306
KRT13--KRT4	GeneB	13531	13695
KRT13--KRT4	GeneB	13962	14087
KRT13--KRT4	GeneB	14517	14737
KRT13--KRT4	GeneB	14988	15022
KRT13--KRT4	GeneB	15131	15832
KRT13--KRT4	GeneB	15131	15781
KRT13--KRT4	MicroH	4834	8744
KRT13--KRT4	MicroH	1527	8833
KRT13--KRT4	MicroH	3321	9442
KRT13--KRT4	MicroH	1411	9462
KRT13--KRT4	MicroH	1412	9463
KRT13--KRT4	MicroH	1389	9464
KRT13--KRT4	MicroH	1413	9464
KRT13--KRT4	MicroH	1330	9465
KRT13--KRT4	MicroH	1390	9465
KRT13--KRT4	MicroH	1391	9466
KRT13--KRT4	MicroH	1392	9467
KRT13--KRT4	MicroH	1393	9468
KRT13--KRT4	MicroH	1496	9512
KRT13--KRT4	MicroH	3647	9585
KRT13--KRT4	MicroH	3017	9588
KRT13--KRT4	MicroH	3987	9588
KRT13--KRT4	MicroH	3018	9589
KRT13--KRT4	MicroH	1644	9674
KRT13--KRT4	MicroH	1645	9675
KRT13--KRT4	MicroH	1646	9676
KRT13--KRT4	MicroH	1299	9680
KRT13--KRT4	MicroH	5396	10746
KRT13--KRT4	MicroH	5397	10747
KRT13--KRT4	MicroH	5289	10796
KRT13--KRT4	MicroH	3290	10872
KRT13--KRT4	MicroH	5090	10963
KRT13--KRT4	MicroH	1189	11201
KRT13--KRT4	MicroH	1348	11201
KRT13--KRT4	MicroH	1372	11201
KRT13--KRT4	MicroH	1190	11202
KRT13--KRT4	MicroH	1191	11203
KRT13--KRT4	MicroH	1192	11204
KRT13--KRT4	MicroH	2996	11762
KRT13--KRT4	MicroH	3902	12920
KRT13--KRT4	MicroH	5510	13522
KRT13--KRT4	MicroH	5511	13523
KRT13--KRT4	MicroH	3709	13635
KRT13--KRT4	MicroH	5484	13651
KRT13--KRT4	MicroH	1168	14026
KRT13--KRT4	MicroH	4378	14087
KRT13--KRT4	MicroH	4155	14608
KRT13--KRT4	MicroH	4156	14609
KRT13--KRT4	MicroH	1355	14679
KRT13--KRT4	MicroH	1379	14679
KRT13--KRT4	MicroH	4288	14693
KRT13--KRT4	MicroH	4289	14694
KRT13--KRT4	MicroH	4290	14695
KRT13--KRT4	MicroH	4291	14696
KRT13--KRT4	MicroH	4292	14697
KRT13--KRT4	MicroH	4293	14698
KRT13--KRT4	MicroH	4294	14699
KRT13--KRT4	MicroH	4295	14700
KRT13--KRT4	MicroH	4296	14701
KRT13--KRT4	MicroH	4297	14702
KRT13--KRT4	MicroH	1327	15202
KRT13--KRT4	MicroH	1328	15203
KRT13--KRT4	MicroH	1329	15204
KRT13--KRT4	MicroH	1330	15205
KRT13--KRT4	MicroH	1390	15205
KRT13--KRT4	MicroH	1329	15228
KRT13--KRT4	MicroH	1330	15229
KRT13--KRT4	MicroH	1390	15229
KRT13--KRT4	MicroH	5395	15284
KRT13--KRT4	MicroH	4157	15324
KRT13--KRT4	MicroH	1235	15359
KRT13--KRT4	MicroH	2306	15423
KRT13--KRT4	MicroH	2307	15424
KRT13--KRT4	MicroH	5166	15448
KRT13--KRT4	MicroH	4956	15454
KRT13--KRT4	MicroH	4957	15455
